,t,x,y,z
,0,0,0,0
,,,,
9066,90.66,5.16469009377,7.77013292945,17.4984325311
9067,90.67,5.41263054762,8.23248552676,17.4339742135
9068,90.68,5.68097499708,8.71961681525,17.4149174801
9069,90.69,5.9701397491,9.23119012436,17.4454697574
9070,90.7,6.28046945543,9.76631386867,17.530236929
9071,90.71,6.61219112441,10.3234062318,17.6742061816
9072,90.72,6.96535963206,10.9000405854,17.8827050265
9073,90.73,7.33979370829,11.4927725959,18.1613284285
9074,90.74,7.73500156168,12.0969520746,18.5158245141
9075,90.75,8.15009567737,12.7065256231,18.9519280668
9076,90.76,8.58369694208,13.3138401664,19.475130278
9077,90.77,9.03382919666,13.9094626819,20.0903734583
9078,90.78,9.4978066682,14.4820377647,20.8016612764
9079,90.79,9.97211855992,15.0182118533,21.6115793518
9080,90.8,10.452317413,15.5026602794,22.520728592
9081,90.81,10.932920666,15.9182595756,23.5270853596
9082,90.82,11.40733798,16.2464507495,24.6253189091
9083,90.83,11.8678400489,16.4678368901,25.8061173285
9084,90.84,12.3055872483,16.5630473644,27.0555969651
9085,90.85,12.7107377966,16.513877899,28.3548936677
9086,90.86,13.0726541166,16.3046790063,29.6800515848
9087,90.87,13.3802216852,15.9239150652,31.002329105
9088,90.88,13.6222859064,15.3657577372,32.2890232899
9089,90.89,13.7881990445,14.6315205983,33.504866818
9090,90.9,13.8684516319,13.7307025398,34.613973074
9091,90.91,13.8553430839,12.6814038831,35.5822025264
9092,90.92,13.7436280947,11.5099266307,36.3797150451
9093,90.93,13.5310634792,10.2494738174,36.983386098
9094,90.94,13.218779203,8.93801063212,37.3787305881
9095,90.95,12.8114105638,7.61551143017,37.5610190144
9096,90.96,12.3169558125,6.32094935628,37.535389522
9097,90.97,11.7463608481,5.08944823078,37.3159334274
9098,90.98,11.1128724012,3.94998693676,36.9239169422
9099,90.99,10.4312343132,2.92393098792,36.3854476668
9100,91.0,9.7168205605,2.02449817585,35.7289631864
9101,91.01,8.98479993157,1.25709355529,34.9828994205
9102,91.02,8.24941207353,0.62031759668,34.1738053142
9103,91.03,7.52340837038,0.107385012929,33.3250435179
9104,91.04,6.81768104763,-0.29230846134,32.4560922177
9105,91.05,6.14107667098,-0.591685643291,31.5823691864
9106,91.06,5.50037017725,-0.804696213315,30.7154471426
9107,91.07,4.90036429686,-0.945303510185,29.8635168401
9108,91.08,4.34407593417,-1.02676094081,29.0319696511
9109,91.09,3.83297367005,-1.061150355,28.2240013125
9110,91.1,3.36723659252,-1.05913487385,27.4411717835
9111,91.11,2.94601201785,-1.02987325394,26.683885653
9112,91.12,2.56765683567,-0.981046583732,25.9517799748
9113,91.13,2.22995334653,-0.91895634503,25.2440213249
9114,91.14,1.930295228,-0.848662387174,24.5595223436
9115,91.15,1.66584267395,-0.77413825313,23.897091724
9116,91.16,1.43364798898,-0.698428686484,23.2555321674
9117,91.17,1.23075424235,-0.623799823195,22.6336995868
9118,91.18,1.05427024108,-0.551876672445,22.0305347646
9119,91.19,0.901425285426,-0.483765305061,21.4450763738
9120,91.2,0.769607085859,-0.420159007253,20.876462109
9121,91.21,0.656385970023,-0.361428797146,20.3239228149
9122,91.22,0.559528172242,-0.3076993604,19.7867730025
9123,91.23,0.477000632167,-0.258911800854,19.2643999886
9124,91.24,0.40696936526,-0.214874736678,18.7562530514
9125,91.25,0.347793125909,-0.175305279457,18.2618333919
9126,91.26,0.298013773909,-0.139861364396,17.7806852906
9127,91.27,0.25634448106,-0.108166787768,17.3123885854
9128,91.28,0.22165667744,-0.0798301743981,16.8565524396
9129,91.29,0.192966434902,-0.0544589570389,16.4128102852
9130,91.3,0.169420816041,-0.0316693095863,15.9808157846
9131,91.31,0.150284576961,-0.0110928426459,15.560239649
9132,91.32,0.134927498268,0.0076192538673,15.150767154
9133,91.33,0.12281252746,0.0247940488163,14.7520962159
9134,91.34,0.113484843986,0.0407362165938,14.3639359079
9135,91.35,0.106561902732,0.0557285085317,13.9860053183
9136,91.36,0.101724469856,0.070033041159,13.6180326709
9137,91.37,0.098708634273,0.0838931586002,13.2597546466
9138,91.38,0.0972987565693,0.0975356813326,12.9109158562
9139,91.39,0.0973213029221,0.111173399314,12.5712684286
9140,91.4,0.098639503045,0.125007705232,12.2405716871
9141,91.41,0.101148767086,0.139231294351,11.9185918945
9142,91.42,0.104772795587,0.15403088222,11.6051020509
9143,91.43,0.109460318256,0.169589911201,11.2998817378
9144,91.44,0.115182400644,0.186091232371,11.0027169991
9145,91.45,0.121930262344,0.203719761462,10.7134002591
9146,91.46,0.129713555554,0.222665116938,10.4317302739
9147,91.47,0.138559058514,0.243124255547,10.1575121198
9148,91.48,0.148509744077,0.26530412627,9.89055721979
9149,91.49,0.159624189472,0.289424367915,9.63068341467
9150,91.5,0.171976298953,0.315720079032,9.37771508428
9151,91.51,0.185655316425,0.344444691615,9.13148332822
9152,91.52,0.200766110341,0.37587298246,8.89182621694
9153,91.53,0.217429718059,0.410304258226,8.65858912688
9154,91.54,0.235784141488,0.448065752369,8.43162517676
9155,91.55,0.255985390283,0.489516274244,8.21079578557
9156,91.56,0.278208773028,0.535050152952,7.99597137797
9157,91.57,0.302650440845,0.58510152089,7.78703226815
9158,91.58,0.32952919175,0.640148984556,7.5838697601
9159,91.59,0.359088547783,0.700720732878,7.38638751096
9160,91.6,0.391599120597,0.767400136159,7.19450321414
9161,91.61,0.42736128474,0.840831891542,7.00815067164
9162,91.62,0.46670818136,0.921728773539,6.82728234023
9163,91.63,0.510009078463,1.0108790504,6.65187245518
9164,91.64,0.557673117167,1.10915462853,6.48192085775
9165,91.65,0.610153476493,1.21751998755,6.31745768099
9166,91.66,0.667951992101,1.33704196651,6.15854908206
